jpid,USE1Code,USE1Desc,USE2Code,USE2Desc,USE3Code,USE3Desc
20822000010000 ,TSC,Azuma 1,NA,NA,NA,NA
20822000010100 ,TSC,Azuma 2,NA,NA,NA,NA
20822000010200 ,TSC,Azuma 3,NA,NA,NA,NA
20822000010300 ,TSC,Azuma 4,NA,NA,NA,NA
20822000050000 ,TSC,Amakubo 1,NA,NA,NA,NA
20822000050100 ,TSC,Amakubo 2 (Univ Tsukuba),NA,NA,NA,NA
20822000050200 ,TSC,Amakubo 3 (Univ Tsukuba),NA,NA,NA,NA
20822000050300 ,TSC,Amakubo 4,NA,NA,NA,NA
20822000090001 ,LEG,Ueno,TEXP,[Nakane-Kontadai] Harukazedai,NA,NA
20822000090002 ,LEG,Ueno,NA,NA,NA,NA
20822000090003 ,LEG,Ueno,NA,NA,NA,NA
20822000090004 ,LEG,Ueno,NA,NA,NA,NA
20822000100000 ,LEG,Uenomuro,NA,NA,NA,NA
20822000110000 ,TSC,Umezono 1,NA,NA,NA,NA
20822000110100 ,TSC,Umezono 2,NA,NA,NA,NA
20822000130000 ,LEG,O,NA,NA,NA,NA
20822000140000 ,LEG,Okamura Shinden,NA,NA,NA,NA
20822000150001 ,LEG,Kamizakai,TEXP,[Nakane-Kontadai] Harukazedai/Sakuranomori,NA,NA
20822000150002 ,LEG,Kamizakai,NA,NA,NA,NA
20822000150003 ,LEG,Kamizakai,NA,NA,NA,NA
20822000150004 ,LEG,Kamizakai,NA,NA,NA,NA
20822000150005 ,LEG,Kamizakai,NA,NA,NA,NA
20822000150006 ,LEG,Kamizakai,NA,NA,NA,NA
20822000150007 ,LEG,Kamizakai,NA,NA,NA,NA
20822000160000 ,LEG,Kamihirooka,RDV,Noda,NA,NA
20822000170000 ,LEG,Kise,NA,NA,NA,NA
20822000180001 ,LEG,Kurakake,NA,NA,NA,NA
20822000180002 ,LEG,Kurakake,NA,NA,NA,NA
20822000190001 ,LEG,Kurihara,RDV,Sakuradai,NA,NA
20822000190002 ,LEG,Kurihara,NA,NA,NA,NA
20822000190003 ,LEG,Kurihara,NA,NA,NA,NA
20822000190004 ,LEG,Kurihara,NA,NA,NA,NA
20822000200000 ,LEG,Konda,TEXP,[Nakane-Kontadai] Sakuranomori/Ryuseidai,PTR,Sakai (R8)
20822000210000 ,LEG,Saiki,NA,NA,NA,NA
20822000220001 ,LEG,Sakai,PTR,Sakai (R8),NA,NA
20822000220002 ,LEG,Sakai,NA,NA,NA,NA
20822000220003 ,LEG,Sakai,NA,NA,NA,NA
20822000220004 ,LEG,Sakai,NA,NA,NA,NA
20822000220005 ,LEG,Sakai,NA,NA,NA,NA
20822000220006 ,LEG,Sakai,NA,NA,NA,NA
20822000220007 ,LEG,Sakai,NA,NA,NA,NA
20822000230001 ,LEG,Sasagi,NA,NA,NA,NA
20822000230002 ,LEG,Sasagi,NA,NA,NA,NA
20822000240000 ,LEG,Shibasaki,TEXP,[Nakane-Kontadai] Sakuranomori/Ryuseidai,RDV,Gakuendai Central
20822000250000 ,LEG,Shimohirooka,RDV,Sakura New Town,NA,NA
20822000260000 ,LEG,Matsusakai,PTR,Sakai (R8),NA,NA
20822000270000 ,TSC,Sengen 1,NA,NA,NA,NA
20822000270100 ,TSC,Sengen 2,NA,NA,NA,NA
20822000290000 ,TSC,Takezono 1,NA,NA,NA,NA
20822000290100 ,TSC,Takezono 2,NA,NA,NA,NA
20822000290200 ,TSC,Takezono 3,NA,NA,NA,NA
20822000320000 ,TSC,Tennodai 1 Univ Tsukuba,NA,NA,NA,NA
20822000320100 ,TSC,Tennodai 2 Univ Tsukuba,NA,NA,NA,NA
20822000320200 ,TSC,Tennodai 3 NIED,NA,NA,NA,NA
20822000350001 ,LEG,Nakane,TEXP,[Nakane-Kontadai] Sakuranomori,PTR,Sakai (R8)
20822000350002 ,LEG,Nakane,NA,NA,NA,NA
20822000350003 ,LEG,Nakane,NA,NA,NA,NA
20822000360000 ,TSC,Namiki 1,NA,NA,NA,NA
20822000360100 ,TSC,Namiki 2,NA,NA,NA,NA
20822000360200 ,TSC,Namiki 3,NA,NA,NA,NA
20822000360300 ,TSC,Namiki 4,NA,NA,NA,NA
20822000400001 ,LEG,Hanamuro,NA,NA,NA,NA
20822000400002 ,LEG,Hanamuro,NA,NA,NA,NA
20822000400003 ,LEG,Hanamuro,NA,NA,NA,NA
20822000400004 ,LEG,Hanamuro,NA,NA,NA,NA
20822000410000 ,LEG,Higashioka,NA,NA,NA,NA
20822000420000 ,LEG,Furuku,NA,NA,NA,NA
20822000430001 ,LEG,Matsuzuka,NA,NA,NA,NA
20822000430002 ,LEG,Matsuzuka,NA,NA,NA,NA
20822000430003 ,LEG,Matsuzuka,NA,NA,NA,NA
20822000440001 ,LEG,Yokomachi,PTR,Sakai (R8),NA,NA
20822000440002 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440003 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440004 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440005 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440006 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440007 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440008 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440009 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440010 ,LEG,Yokomachi,NA,NA,NA,NA
20822000440011 ,LEG,Yokomachi,NA,NA,NA,NA
20822000450001 ,LEG,Akatsuka,RDV,Toho Land,NA,NA
20822000450002 ,LEG,Akatsuka,NA,NA,NA,NA
20822000460001 ,LEG,Arai,NA,NA,NA,NA
20822000460002 ,LEG,Arai,NA,NA,NA,NA
20822000460003 ,LEG,Arai,NA,NA,NA,NA
20822000470001 ,LEG,Aramakida,NA,NA,NA,NA
20822000470002 ,LEG,Aramakida,NA,NA,NA,NA
20822000470003 ,LEG,Aramakida,NA,NA,NA,NA
20822000480000 ,LEG,Iida,TEXP,[Chizumaru] Midorino Higashi,NA,NA
20822000490001 ,LEG,Ichinodai,RDV,Ichinodai,NA,NA
20822000490002 ,LEG,Ichinodai,NA,NA,NA,NA
20822000500001 ,LEG,Inaoka,NA,NA,NA,NA
20822000500002 ,LEG,Inaoka,NA,NA,NA,NA
20822000510000 ,TSC,Inarimae,NA,NA,NA,NA
20822000520001 ,LEG,Imaizumi,NA,NA,NA,NA
20822000520002 ,LEG,Imaizumi,NA,NA,NA,NA
20822000520003 ,LEG,Imaizumi,NA,NA,NA,NA
20822000520004 ,LEG,Imaizumi,NA,NA,NA,NA
20822000520005 ,LEG,Imaizumi,NA,NA,NA,NA
20822000520006 ,LEG,Imaizumi,NA,NA,NA,NA
20822000530000 ,LEG,Enokido,NA,NA,NA,NA
20822000540000 ,LEG,Ojirahazama,NA,NA,NA,NA
20822000550000 ,TSC,Owashi,NA,NA,NA,NA
20822000560000 ,LEG,Onigakubo,NA,NA,NA,NA
20822000570000 ,TSC,Onogawa,NA,NA,NA,NA
20822000580000 ,LEG,Onozaki,NA,NA,NA,NA
20822000590000 ,LEG,Omonoi,NA,NA,NA,NA
20822000600001 ,LEG,Kajiuchi,NA,NA,NA,NA
20822000600002 ,LEG,Kajiuchi,NA,NA,NA,NA
20822000600003 ,LEG,Kajiuchi,NA,NA,NA,NA
20822000610000 ,TSC,Kasuga 1,NA,NA,NA,NA
20822000610100 ,TSC,Kasuga 2,NA,NA,NA,NA
20822000610200 ,TSC,Kasuga 3,NA,NA,NA,NA
20822000610300 ,TSC,Kasuga 4,NA,NA,NA,NA
20822000650000 ,IND,Katata,LEG,Katata,TEXP,[Chizumaru] Midorino Minami C
20822000660000 ,LEG,Katsuraginesaki,NA,NA,NA,NA
20822000670000 ,LEG,Kamikayamaru,TEXP,[Chizumaru] Midorino,NA,NA
20822000680001 ,LEG,Kamikawarazaki,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
20822000680002 ,LEG,Kamikawarazaki,NA,NA,NA,NA
20822000680003 ,LEG,Kamikawarazaki,NA,NA,NA,NA
20822000690001 ,LEG,Kamihara,NA,NA,NA,NA
20822000690002 ,LEG,Kamihara,NA,NA,NA,NA
20822000690003 ,LEG,Kamihara,NA,NA,NA,NA
20822000690004 ,LEG,Kamihara,NA,NA,NA,NA
20822000690005 ,LEG,Kamihara,NA,NA,NA,NA
20822000690006 ,LEG,Kamihara,NA,NA,NA,NA
20822000690007 ,LEG,Kamihara,NA,NA,NA,NA
20822000690008 ,LEG,Kamihara,NA,NA,NA,NA
20822000700001 ,LEG,Kamiyokoba,NA,NA,NA,NA
20822000700002 ,LEG,Kamiyokoba,NA,NA,NA,NA
20822000710001 ,LEG,Karima,NA,NA,NA,NA
20822000710002 ,LEG,Karima,NA,NA,NA,NA
20822000710003 ,LEG,Karima,NA,NA,NA,NA
20822000710004 ,LEG,Karima,NA,NA,NA,NA
20822000710005 ,LEG,Karima,NA,NA,NA,NA
20822000720000 ,TSC,Kannondai 1,IND,Research Park Hanare,NA,NA
20822000720100 ,TSC,Kannondai 2,NA,NA,NA,NA
20822000720200 ,TSC,Kannondai 3,NA,NA,NA,NA
20822000750000 ,TSC,Kitasato - GSI,NA,NA,NA,NA
20822000760001 ,LEG,Kitanakajima,RDV,Kitanakajima-Gakuen Green Town,NA,NA
20822000760002 ,LEG,Kitanakajima,NA,NA,NA,NA
20822000770000 ,LEG,Kitanakazuma,NA,NA,NA,NA
20822000780100 ,TSC,Koyadai 1,NA,NA,NA,NA
20822000780200 ,TSC,Koyadai 2,NA,NA,NA,NA
20822000780300 ,TSC,Koyadai 3,NA,NA,NA,NA
20822000820001 ,LEG,Kojirahazama,RDV,Green Town,NA,NA
20822000820002 ,LEG,Kojirahazama,NA,NA,NA,NA
20822000830000 ,LEG,Saigo,NA,NA,NA,NA
20822000840001 ,LEG,Sakaida,NA,NA,NA,NA
20822000840002 ,LEG,Sakaida,NA,NA,NA,NA
20822000840003 ,LEG,Sakaida,NA,NA,NA,NA
20822000850000 ,LEG,Sakaimatsu,NA,NA,NA,NA
20822000860000 ,LEG,Shima,NA,NA,NA,NA
20822000870000 ,LEG,Shimana,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
20822000880001 ,LEG,Shimokayamaru,TEXP,[Chizumaru] Midorino Chuo,NA,NA
20822000880002 ,LEG,Shimokayamaru,TEXP,[Chizumaru] Midorino,NA,NA
20822000880003 ,LEG,Shimokayamaru,NA,NA,NA,NA
20822000880004 ,LEG,Shimokayamaru,NA,NA,NA,NA
20822000890000 ,LEG,Shimokawarazaki,TEXP,[Kamikawarazaki-Nakanishi],NA,NA
20822000900001 ,LEG,Shimohara,NA,NA,NA,NA
20822000900002 ,LEG,Shimohara,NA,NA,NA,NA
20822000910000 ,LEG,Shimohiratsuka,NA,NA,NA,NA
20822000920000 ,LEG,Shimobeppu,NA,NA,NA,NA
20822000930000 ,LEG,Shimoyokoba,RDV,Shimoyokoba,NA,NA
20822000940001 ,LEG,Taira,NA,NA,NA,NA
20822000940002 ,LEG,Taira,NA,NA,NA,NA
20822000950001 ,LEG,Takasuka,NA,NA,NA,NA
20822000950002 ,LEG,Takasuka,NA,NA,NA,NA
20822000960000 ,LEG,Takata,NA,NA,NA,NA
20822000970001 ,LEG,Takarada,NA,NA,NA,NA
20822000970002 ,LEG,Takarada,NA,NA,NA,NA
20822000980001 ,LEG,Tateno,NA,NA,NA,NA
20822000980002 ,LEG,Tateno,NA,NA,NA,NA
20822000980003 ,LEG,Tateno,NA,NA,NA,NA
20822000980004 ,LEG,Tateno,NA,NA,NA,NA
20822000990000 ,LEG,Teshirogi,NA,NA,NA,NA
20822001000001 ,LEG,Nakauchi,NA,NA,NA,NA
20822001000002 ,LEG,Nakauchi,NA,NA,NA,NA
20822001000003 ,LEG,Nakauchi,NA,NA,NA,NA
20822001010000 ,LEG,Nakano,TEXP,[Chizumaru] Midorino Chuo,NA,NA
20822001020000 ,LEG,Nakabeppu,RDV,Beppu Gakuendai,NA,NA
20822001030000 ,TSC,Nagamine,NA,NA,NA,NA
20822001040000 ,LEG,Nabenuma Shinden,NA,NA,NA,NA
20822001050001 ,LEG,Nishionuma,NA,NA,NA,NA
20822001050002 ,LEG,Nishionuma,NA,NA,NA,NA
20822001050003 ,LEG,Nishionuma,NA,NA,NA,NA
20822001060001 ,LEG,Nishiohashi,NA,NA,NA,NA
20822001060002 ,LEG,Nishiohashi,NA,NA,NA,NA
20822001060003 ,LEG,Nishiohashi,NA,NA,NA,NA
20822001070001 ,LEG,Nishioka,NA,NA,NA,NA
20822001070002 ,LEG,Nishioka,NA,NA,NA,NA
20822001080000 ,LEG,Nishikuriyama,TEXP,[Chizumaru] Midorino,NA,NA
20822001090000 ,TSC,Nishihara,NA,NA,NA,NA
20822001100000 ,LEG,Nishihiratsuka,NA,NA,NA,NA
20822001110000 ,TSC,Ninomiya 1,NA,NA,NA,NA
20822001110100 ,TSC,Ninomiya 2,NA,NA,NA,NA
20822001110200 ,TSC,Ninomiya 3,NA,NA,NA,NA
20822001110300 ,TSC,Ninomiya 4,NA,NA,NA,NA
20822001150000 ,LEG,Nezaki,NA,NA,NA,NA
20822001160000 ,TSC,Hachimandai,NA,NA,NA,NA
20822001170001 ,LEG,Hanashima Shinden,TEXP,[Chizumaru] Midorino,NA,NA
20822001170002 ,LEG,Hanashima Shinden,TEXP,[Chizumaru] Midorino,NA,NA
20822001180001 ,LEG,Hanare,NA,NA,NA,NA
20822001180002 ,LEG,Hanare,NA,NA,NA,NA
20822001200000 ,TSC,Higashi 1,NA,NA,NA,NA
20822001200100 ,TSC,Higashi 2,NA,NA,NA,NA
20822001220000 ,TSC,Higashiarai,NA,NA,NA,NA
20822001230001 ,LEG,Higashihiratsuka,NA,NA,NA,NA
20822001230002 ,LEG,Higashihiratsuka,NA,NA,NA,NA
20822001240001 ,LEG,Higashimaruyama,NA,NA,NA,NA
20822001240002 ,LEG,Higashimaruyama,NA,NA,NA,NA
20822001240003 ,LEG,Higashimaruyama,NA,NA,NA,NA
20822001240004 ,LEG,Higashimaruyama,NA,NA,NA,NA
20822001240005 ,LEG,Higashimaruyama,NA,NA,NA,NA
20822001250000 ,TSC,Fujimoto,NA,NA,NA,NA
20822001260001 ,LEG,Furudate,TEXP,[Chizumaru] Midorino Higashi,NA,NA
20822001260002 ,LEG,Furudate,NA,NA,NA,NA
20822001270001 ,LEG,Mase,RDV,Fujimigaoka,NA,NA
20822001270002 ,LEG,Mase,NA,NA,NA,NA
20822001270003 ,LEG,Mase,NA,NA,NA,NA
20822001280000 ,TSC,Matsushiro 1,NA,NA,NA,NA
20822001280100 ,TSC,Matsushiro 2,NA,NA,NA,NA
20822001280200 ,TSC,Matsushiro 3,NA,NA,NA,NA
20822001280300 ,TSC,Matsushiro 4,NA,NA,NA,NA
20822001280400 ,TSC,Matsushiro 5,NA,NA,NA,NA
20822001330000 ,LEG,Matsunoki,NA,NA,NA,NA
20822001340001 ,LEG,Mizuhori,NA,NA,NA,NA
20822001340002 ,LEG,Mizuhori,NA,NA,NA,NA
20822001350000 ,RDV,Midorigaoka,NA,NA,NA,NA
20822001360001 ,LEG,Minaminakazuma,RDV,Minaminakazuma Central,NA,NA
20822001360002 ,LEG,Minaminakazuma,NA,NA,NA,NA
20822001360003 ,LEG,Minaminakazuma,NA,NA,NA,NA
20822001360004 ,LEG,Minaminakazuma,NA,NA,NA,NA
